;;;;;PRODUTO;EAN;CÓDIGO;PREÇO RECOMENDADO
DOG DRY;CHAMP DRY 15 KG CORE;CARNE & CEREAL;Nacional;10280810;CHAMP DRY AD CARNE & CEREAL 15KG RE23;7,90E+12;97224;142,9
DOG DRY;OPT DOG DRY 1 KG CORE;FILHOTES R PEQ&MINIS FRANGO&ARROZ;Nacional;10401093;OPT DRY DOG FIL RPM FGO&ARZ 10X1KG RE24;7,90E+12;97844;27,5
DOG DRY;OPT DOG DRY 1 KG CORE;ADULTOS R PEQ&MINIS FRANGO&ARROZ;Nacional;10401110;OPT DRY DOG AD RPM FGO&ARZ 10X1KG RE24;7,90E+12;97838;27,5
DOG DRY;OPT DOG DRY 15 KG CORE;ADULTOS R MED&GDE FRANGO&ARROZ;Nacional;10401155;OPT DRY DOG AD RMG FGO&ARZ 1X15KG RE24;7,90E+12;97836;210,99
DOG DRY;OPT DOG DRY 15 KG FIL;FILHOTES R MED&GDE FRANGO&ARROZ;Nacional;10401154;OPT DRY DOG FIL RMG FGO&ARZ 1X15KG RE24;7,90E+12;97842;210,99
DOG DRY;OPT DOG DRY 20 KG CORE;ADULTOS R PEQ&MINIS FRANGO&ARROZ;Nacional;10401153;OPT DRY DOG AD RPM FGO&ARZ 1X20KG RE24;7,90E+12;97840;292,49
DOG DRY;OPT DOG DRY 3 KG CORE;FILHOTES R PEQ&MINIS FRANGO&ARROZ;Nacional;10401112;OPT DRY DOG FIL RPM FGO&ARZ 6X3KG RE24;7,90E+12;97845;68,5
DOG DRY;OPT DOG DRY 3 KG CORE;ADULTOS R MED&GDE FRANGO&ARROZ;Nacional;10401116;OPT DRY DOG AD RMG FGO&ARZ 6X3KG RE24;7,90E+12;97837;68,5
DOG DRY;OPT DOG DRY 3 KG CORE;ADULTOS R PEQ&MINIS FRANGO&ARROZ;Nacional;10401121;OPT DRY DOG AD RPM FGO&ARZ 6X3KG RE24;7,90E+12;97841;68,5
DOG DRY;OPT DOG DRY 3 KG CORE;FILHOTES R MED&GDE FRANGO&ARROZ;Nacional;10401122;OPT DRY DOG FIL RMG FGO&ARZ 6X3KG RE24;7,90E+12;97843;68,5
DOG DRY;PED DRY 0,9 KG CORE;FIL RPEQ;Nacional;10286182;PED DRY FIL 10X900G RE24;7,90E+12;98931;19,9
DOG DRY;PED DRY 0,9 KG CORE;AD RAÇAS PEQUENAS;Nacional;10286192;PED DRY AD RP 10X900G RE24;7,90E+12;98912;19,9
DOG DRY;PED DRY 0,9 KG CORE;CARNE&VEGETAIS;Nacional;10286209;PED DRY AD CARNE&VEG 10X900G RE24;7,90E+12;98915;19,9
DOG DRY;PED DRY 0,9 KG CORE;CARNE&FRANGO;Nacional;10286211;PED DRY AD CARNE&FRANGO 10X900G RE24;7,90E+12;98934;19,9
DOG DRY;PED DRY 10,1 KG CORE;C&V;Nacional;10286169;PED DRY AD CARNE&VEG 1X10,1KG RE24;7,90E+12;97074;199,9
DOG DRY;PED DRY 10,1 KG CORE;JUNIOR;Nacional;10286172;PED DRY FIL 1X10,1KG RE24;7,90E+12;97309;199,9
DOG DRY;PED DRY 15 KG CORE;R PEQ;Nacional;10286151;PED DRY AD RP 1X15KG RE24;7,90E+12;97067;235,87
DOG DRY;PED DRY 15 KG CORE;CF&C;Nacional;10286165;PED DRY AD CARNE&FRANGO 1X15KG RE24;7,90E+12;98932;235,87
DOG DRY;PED DRY 15 KG CORE;C&V;Nacional;10286170;PED DRY AD CARNE&VEG 1X15KG RE24;7,90E+12;97076;235,87
